00_glossary.msbt
01_msg_with_voice.msbt
mng_cmn_go	GO！
sys_start	START！
mng_cmn_fnsh	FINISH！
sys_timeup	TIME UP！
sys_congra	Congratulations!
mng_cmn_win	勝利
mng_cmn_win_p	勝利
mng_cmn_draw	平手
mng_bdr001_rlt01	達成S級！
mng_bdr001_rlt02	達成A級！
mng_bdr001_rlt03	達成B級！
mng_bdr001_rlt04	C級！
bdr001_tlp_00	GOAL！
mgx610_00	GOAL！
sys_newrecord_00	新紀錄
exg001_tlp_01	新紀錄！
exg004_00_07	新紀錄！
bds001_star_00	獲得星星！
bds001_star_00_p	獲得星星！
sys_win_vert	勝利
exg002_win_00	勝利
sys_draw_vert	平手
sys_yeah_00	預備……
sys_yeah_01	Yeah!
exg002_tlp_09	遊戲結束！
exg002_tlp_10	遊戲開始！
exg002_tlp_00	好球！
exg002_tlp_01	打者出局！
exg002_tlp_02	出局！
exg002_tlp_03	攻守互換！
exg002_tlp_04	全壘打！
exg002_tlp_05	安打！
exg002_tlp_06	二壘
exg002_tlp_07	三壘
exg002_tlp_05_01	安打！
exg002_tlp_08	界外球！
bdcn001_parfect_000	完美！
cmn_jewel_00	獲得寶石！
ed_telop_00	You are the\r\nSuper Star!
02_handmade_msg.msbt
03_staffcredits.msbt
credit_title_00	Staff Credits
credit_title_01	SUPER MARIO PARTY
credit_copyright_00	Nintendo and NDCUBE are the authors of this\r\nsoftware for the purpose of copyright.\r\nAll rights reserved.  2018 Nintendo.
credit_end_00	Thank you for playing!
credit_bezel_00	Made with NintendoWare Bezel Engine.
credit_position_00	DIRECTOR
credit_position_01	CHIEF DESIGN DIRECTOR
credit_position_02	DESIGN DIRECTORS
credit_position_03	GAME DESIGN
credit_position_04	CHIEF PROGRAM DIRECTOR
credit_position_05	PROGRAM DIRECTORS
credit_position_06	PROGRAM
credit_position_07	CHIEF ART DIRECTOR
credit_position_08	ART DIRECTORS
credit_position_09	ART
credit_position_10	CHIEF SOUND DIRECTOR
credit_position_11	SOUND DIRECTORS
credit_position_12	MUSIC DIRECTOR
credit_position_13	MUSIC
credit_position_14	SOUND EFFECTS
credit_position_15	SOUND SUPERVISORS
credit_position_16	CHARACTER VOICES
credit_position_17	VOICES
credit_position_18	CHARACTER SUPERVISOR
credit_position_19	ILLUSTRATION
credit_position_20	LOGO DESIGN
credit_position_21	TECHNICAL SUPPORT
credit_position_22	NOA LOCALIZATION MANAGEMENT
credit_position_23	NOA LOCALIZATION
credit_position_24	NOA COPY EDITING
credit_position_25	NOE LOCALISATION PRODUCERS
credit_position_26	NOE TRANSLATION
credit_position_27	NHL LOCALIZATION
credit_position_29	iQue LOCALIZATION
credit_position_30	NOK LOCALIZATION
credit_position_32	TESTING
credit_position_33	NOA PRODUCT TESTING
credit_position_34	NOE QUALITY ASSURANCE
credit_position_35	SPECIAL THANKS
credit_position_36	COORDINATION
credit_position_37	PROJECT MANAGER
credit_position_38	ASSOCIATE PRODUCER
credit_position_39	PRODUCERS
credit_position_40	GENERAL PRODUCERS
credit_position_41	EXECUTIVE PRODUCER
credit_name_00_00	Shuichiro Nishiya
credit_name_01_00	Tatsumitsu Watanabe
credit_name_02_00	Takeru Sugimoto
credit_name_02_01	Yoshitsugu Tamaoki
credit_name_02_02	Yuki Maruyama
credit_name_02_03	Atsushi Nakao
credit_name_02_04	Satoru Imamura
credit_name_02_05	Takaki Kobayashi
credit_name_02_06	Fumihisa Sato
credit_name_03_00	Hayato Minagawa
credit_name_03_01	Natsuki Sato
credit_name_03_02	Yukiko Nakata
credit_name_03_03	Hirotaka Uchida
credit_name_03_04	Natsumi Hirata
credit_name_03_05	Katsuya Ishii
credit_name_03_06	Toyokazu Ozaki
credit_name_03_07	Takeshi Sakai
credit_name_03_08	Ryo Yokomizo
credit_name_03_09	Makoto Eguchi
credit_name_03_10	Hiroyuki Seki
credit_name_03_11	Yuya Rokuyama
credit_name_03_12	Miyuki Sakaguchi
